indice_tiempo,oferta_global_pib,oferta_global_importacion,demanda_global_exportacion,demanda_global_ibif,demanda_global_consumo_priv,demanda_global_consumo_publico
1993-01-01,228776.443136,19037.7905733,16222.4898054,40734.48138,31840.7601443,158299.920801
1993-04-01,235303.341885,21381.8923441,16059.6972416,44309.3853745,32173.0604002,163510.838521
1993-07-01,240033.494019,23210.6706821,16227.4865604,46781.0674746,32478.7822821,166132.305014
1993-10-01,241966.85527,24480.0463759,16854.1654003,48452.7196922,31318.2651774,166759.109651
1994-01-01,245406.025051,26154.4427874,17154.1712436,49567.1554321,32747.0614542,170936.982043
1994-04-01,250481.65868,27059.0223534,18162.9403333,51923.8190132,31933.5130776,174911.388864
1994-07-01,251113.850845,26825.0477777,19300.1324276,51433.8192949,32324.0967105,173955.15783
1994-10-01,254230.009424,26690.5260815,20744.3679956,52000.9082598,31374.5447578,174628.681264
1995-01-01,250306.930831,26032.816797,22595.7827801,50000.4357473,31892.1406032,170143.309367
1995-04-01,240819.537218,23735.4721439,24487.9329384,43355.6277152,32275.539438,164589.391455
1995-07-01,239889.252488,22504.299755,22360.0015813,42354.6077204,31938.6876976,163466.653513
1995-10-01,241728.686464,23989.9283041,22895.4677003,42402.4378171,33249.2292612,165832.831664
1996-01-01,248375.403424,25154.5141249,23393.2412043,45131.6459263,33055.0278007,170323.24298
1996-04-01,253911.110018,27967.7929882,23949.2109563,47789.7857329,32803.4454849,173742.340902
1996-07-01,259742.630489,29618.7251332,25358.1335561,49960.7067451,32915.2846842,176573.19364
1996-10-01,264475.832068,30395.4267538,26699.5862834,51053.3075957,33388.4610301,180144.681479
1997-01-01,270030.367531,33654.576624,26887.1760263,53323.1835152,33902.6334818,185398.426652
1997-04-01,274047.106652,34804.9436662,27134.913246,57027.6386353,34228.4843634,188009.093771
1997-07-01,280945.46802,37079.945048,28299.5260716,58435.8833034,33094.8168349,193986.317861
1997-10-01,284742.326797,37998.5186618,29182.9536561,59403.294546,35191.3583199,196295.899716
1998-01-01,286215.645041,38601.7491933,30010.3940812,63095.9055417,34604.1103293,194523.9608
1998-04-01,291824.055933,40630.0648292,31418.2545692,62477.483518,35287.5447689,200240.614735
1998-07-01,290935.118096,39570.4743822,31872.5677241,60407.9498594,35739.3559219,199171.682979
